method,score_field,total_records,full_accuracy,aurc,normalized_aurc
Confidence only,calibrated_confidence,200,0.465,0.29253210508772437,0.31646200250609835
Question-aware semantic V2,qa_entailment_probability; invalid claims=0,200,0.465,0.41906283303946745,0.673163084259093
Confidence + question-aware semantic V2,sqrt(calibrated_confidence * qa_entailment_probability); invalid claims=0,200,0.465,0.3498127495910466,0.4779411008136355
Self-verifier only,normalized(self_verification_score),200,0.465,0.4253533851192804,0.6908966954380992
Confidence + self-verifier,sqrt(calibrated_confidence * normalized(self_verification_score)),200,0.465,0.2845482258405725,0.29395475537218085
