method,requested_coverage,actual_coverage,answered,total,selective_accuracy,risk,wrong_answered,correct_answered,abstained,correct_abstained,incorrect_abstained
Confidence only,0.1,0.1,500,5000,0.904,0.096,48,452,4500,1662,2838
Confidence only,0.2,0.2,1000,5000,0.865,0.135,135,865,4000,1249,2751
Confidence only,0.3,0.3,1500,5000,0.8453333333333334,0.15466666666666667,232,1268,3500,846,2654
Confidence only,0.4,0.4,2000,5000,0.8045,0.1955,391,1609,3000,505,2495
Confidence only,0.5,0.5,2500,5000,0.7436,0.2564,641,1859,2500,255,2245
Confidence only,0.6,0.6,3000,5000,0.673,0.327,981,2019,2000,95,1905
Confidence only,0.7,0.7,3500,5000,0.5931428571428572,0.40685714285714286,1424,2076,1500,38,1462
Confidence only,0.8,0.8,4000,5000,0.525,0.475,1900,2100,1000,14,986
Confidence only,0.9,0.9,4500,5000,0.4673333333333333,0.5326666666666666,2397,2103,500,11,489
Confidence only,1.0,1.0,5000,5000,0.4228,0.5772,2886,2114,0,0,0
Old semantic verifier only,0.1,0.1,500,5000,0.734,0.266,133,367,4500,1747,2753
Old semantic verifier only,0.2,0.2,1000,5000,0.707,0.293,293,707,4000,1407,2593
Old semantic verifier only,0.3,0.3,1500,5000,0.6846666666666666,0.31533333333333335,473,1027,3500,1087,2413
Old semantic verifier only,0.4,0.4,2000,5000,0.6465,0.3535,707,1293,3000,821,2179
Old semantic verifier only,0.5,0.5,2500,5000,0.6144,0.3856,964,1536,2500,578,1922
Old semantic verifier only,0.6,0.6,3000,5000,0.576,0.424,1272,1728,2000,386,1614
Old semantic verifier only,0.7,0.7,3500,5000,0.5365714285714286,0.4634285714285714,1622,1878,1500,236,1264
Old semantic verifier only,0.8,0.8,4000,5000,0.49575,0.50425,2017,1983,1000,131,869
Old semantic verifier only,0.9,0.9,4500,5000,0.46244444444444444,0.5375555555555556,2419,2081,500,33,467
Old semantic verifier only,1.0,1.0,5000,5000,0.4228,0.5772,2886,2114,0,0,0
Question-aware semantic V2,0.1,0.1,500,5000,0.794,0.206,103,397,4500,1717,2783
Question-aware semantic V2,0.2,0.2,1000,5000,0.762,0.238,238,762,4000,1352,2648
Question-aware semantic V2,0.3,0.3,1500,5000,0.7166666666666667,0.2833333333333333,425,1075,3500,1039,2461
Question-aware semantic V2,0.4,0.4,2000,5000,0.667,0.333,666,1334,3000,780,2220
Question-aware semantic V2,0.5,0.5,2500,5000,0.6068,0.3932,983,1517,2500,597,1903
Question-aware semantic V2,0.6,0.6,3000,5000,0.5486666666666666,0.4513333333333333,1354,1646,2000,468,1532
Question-aware semantic V2,0.7,0.7,3500,5000,0.4982857142857143,0.5017142857142857,1756,1744,1500,370,1130
Question-aware semantic V2,0.8,0.8,4000,5000,0.458,0.542,2168,1832,1000,282,718
Question-aware semantic V2,0.9,0.9,4500,5000,0.422,0.578,2601,1899,500,215,285
Question-aware semantic V2,1.0,1.0,5000,5000,0.4228,0.5772,2886,2114,0,0,0
Confidence + question-aware semantic V2,0.1,0.1,500,5000,0.9,0.1,50,450,4500,1664,2836
Confidence + question-aware semantic V2,0.2,0.2,1000,5000,0.859,0.141,141,859,4000,1255,2745
Confidence + question-aware semantic V2,0.3,0.3,1500,5000,0.814,0.186,279,1221,3500,893,2607
Confidence + question-aware semantic V2,0.4,0.4,2000,5000,0.752,0.248,496,1504,3000,610,2390
Confidence + question-aware semantic V2,0.5,0.5,2500,5000,0.6552,0.3448,862,1638,2500,476,2024
Confidence + question-aware semantic V2,0.6,0.6,3000,5000,0.5736666666666667,0.42633333333333334,1279,1721,2000,393,1607
Confidence + question-aware semantic V2,0.7,0.7,3500,5000,0.5168571428571429,0.48314285714285715,1691,1809,1500,305,1195
Confidence + question-aware semantic V2,0.8,0.8,4000,5000,0.46375,0.53625,2145,1855,1000,259,741
Confidence + question-aware semantic V2,0.9,0.9,4500,5000,0.422,0.578,2601,1899,500,215,285
Confidence + question-aware semantic V2,1.0,1.0,5000,5000,0.4228,0.5772,2886,2114,0,0,0
