method,requested_coverage,actual_coverage,answered,total,selective_accuracy,risk,wrong_answered,correct_answered,abstained,correct_abstained,incorrect_abstained
Confidence only,0.1,0.1,200,2000,0.91,0.09,18,182,1800,675,1125
Confidence only,0.2,0.2,400,2000,0.8725,0.1275,51,349,1600,508,1092
Confidence only,0.3,0.3,600,2000,0.8533333333333334,0.14666666666666667,88,512,1400,345,1055
Confidence only,0.4,0.4,800,2000,0.80875,0.19125,153,647,1200,210,990
Confidence only,0.5,0.5,1000,2000,0.749,0.251,251,749,1000,108,892
Confidence only,0.6,0.6,1200,2000,0.6791666666666667,0.32083333333333336,385,815,800,42,758
Confidence only,0.7,0.7,1400,2000,0.6,0.4,560,840,600,17,583
Confidence only,0.8,0.8,1600,2000,0.53375,0.46625,746,854,400,3,397
Confidence only,0.9,0.9,1800,2000,0.475,0.525,945,855,200,2,198
Confidence only,1.0,1.0,2000,2000,0.4285,0.5715,1143,857,0,0,0
Question-aware semantic V2,0.1,0.1,200,2000,0.785,0.215,43,157,1800,700,1100
Question-aware semantic V2,0.2,0.2,400,2000,0.7625,0.2375,95,305,1600,552,1048
Question-aware semantic V2,0.3,0.3,600,2000,0.7233333333333334,0.27666666666666667,166,434,1400,423,977
Question-aware semantic V2,0.4,0.4,800,2000,0.6675,0.3325,266,534,1200,323,877
Question-aware semantic V2,0.5,0.5,1000,2000,0.606,0.394,394,606,1000,251,749
Question-aware semantic V2,0.6,0.6,1200,2000,0.5483333333333333,0.45166666666666666,542,658,800,199,601
Question-aware semantic V2,0.7,0.7,1400,2000,0.5035714285714286,0.49642857142857144,695,705,600,152,448
Question-aware semantic V2,0.8,0.8,1600,2000,0.464375,0.535625,857,743,400,114,286
Question-aware semantic V2,0.9,0.9,1800,2000,0.4288888888888889,0.5711111111111111,1028,772,200,85,115
Question-aware semantic V2,1.0,1.0,2000,2000,0.4285,0.5715,1143,857,0,0,0
Confidence + question-aware semantic V2,0.1,0.1,200,2000,0.9,0.1,20,180,1800,677,1123
Confidence + question-aware semantic V2,0.2,0.2,400,2000,0.87,0.13,52,348,1600,509,1091
Confidence + question-aware semantic V2,0.3,0.3,600,2000,0.815,0.185,111,489,1400,368,1032
Confidence + question-aware semantic V2,0.4,0.4,800,2000,0.7575,0.2425,194,606,1200,251,949
Confidence + question-aware semantic V2,0.5,0.5,1000,2000,0.657,0.343,343,657,1000,200,800
Confidence + question-aware semantic V2,0.6,0.6,1200,2000,0.5783333333333334,0.4216666666666667,506,694,800,163,637
Confidence + question-aware semantic V2,0.7,0.7,1400,2000,0.5242857142857142,0.4757142857142857,666,734,600,123,477
Confidence + question-aware semantic V2,0.8,0.8,1600,2000,0.474375,0.525625,841,759,400,98,302
Confidence + question-aware semantic V2,0.9,0.9,1800,2000,0.4288888888888889,0.5711111111111111,1028,772,200,85,115
Confidence + question-aware semantic V2,1.0,1.0,2000,2000,0.4285,0.5715,1143,857,0,0,0
Self-verifier only,0.1,0.1,200,2000,0.645,0.355,71,129,1800,728,1072
Self-verifier only,0.2,0.2,400,2000,0.6425,0.3575,143,257,1600,600,1000
Self-verifier only,0.3,0.3,600,2000,0.6166666666666667,0.38333333333333336,230,370,1400,487,913
Self-verifier only,0.4,0.4,800,2000,0.60125,0.39875,319,481,1200,376,824
Self-verifier only,0.5,0.5,1000,2000,0.58,0.42,420,580,1000,277,723
Self-verifier only,0.6,0.6,1200,2000,0.5516666666666666,0.4483333333333333,538,662,800,195,605
Self-verifier only,0.7,0.7,1400,2000,0.52,0.48,672,728,600,129,471
Self-verifier only,0.8,0.8,1600,2000,0.499375,0.500625,801,799,400,58,342
Self-verifier only,0.9,0.9,1800,2000,0.4716666666666667,0.5283333333333333,951,849,200,8,192
Self-verifier only,1.0,1.0,2000,2000,0.4285,0.5715,1143,857,0,0,0
Confidence + self-verifier,0.1,0.1,200,2000,0.87,0.13,26,174,1800,683,1117
Confidence + self-verifier,0.2,0.2,400,2000,0.84,0.16,64,336,1600,521,1079
Confidence + self-verifier,0.3,0.3,600,2000,0.795,0.205,123,477,1400,380,1020
Confidence + self-verifier,0.4,0.4,800,2000,0.7775,0.2225,178,622,1200,235,965
Confidence + self-verifier,0.5,0.5,1000,2000,0.737,0.263,263,737,1000,120,880
Confidence + self-verifier,0.6,0.6,1200,2000,0.6683333333333333,0.33166666666666667,398,802,800,55,745
Confidence + self-verifier,0.7,0.7,1400,2000,0.6,0.4,560,840,600,17,583
Confidence + self-verifier,0.8,0.8,1600,2000,0.53125,0.46875,750,850,400,7,393
Confidence + self-verifier,0.9,0.9,1800,2000,0.475,0.525,945,855,200,2,198
Confidence + self-verifier,1.0,1.0,2000,2000,0.4285,0.5715,1143,857,0,0,0
