method,score_field,total_records,full_accuracy,aurc,normalized_aurc
Confidence only,calibrated_confidence,1000,0.437,0.27612211152613697,0.20637284275512432
Question-aware semantic V2,qa_entailment_probability; invalid claims=0,1000,0.437,0.37463142027983615,0.47889179876200694
Confidence + question-aware semantic V2,sqrt(calibrated_confidence * qa_entailment_probability); invalid claims=0,1000,0.437,0.3154590012993859,0.31519553442953996
Self-verifier only,normalized(self_verification_score),1000,0.437,0.42784109913178214,0.6260925690612839
Confidence + self-verifier,sqrt(calibrated_confidence * normalized(self_verification_score)),1000,0.437,0.2868145245960741,0.23595263865338953
