method,requested_coverage,actual_coverage,answered,total,selective_accuracy,risk,wrong_answered,correct_answered,abstained,correct_abstained,incorrect_abstained
Confidence only,0.1,0.1,100,1000,0.88,0.12,12,88,900,349,551
Confidence only,0.2,0.2,200,1000,0.86,0.14,28,172,800,265,535
Confidence only,0.3,0.3,300,1000,0.8733333333333333,0.12666666666666668,38,262,700,175,525
Confidence only,0.4,0.4,400,1000,0.84,0.16,64,336,600,101,499
Confidence only,0.5,0.5,500,1000,0.774,0.226,113,387,500,50,450
Confidence only,0.6,0.6,600,1000,0.6933333333333334,0.30666666666666664,184,416,400,21,379
Confidence only,0.7,0.7,700,1000,0.6114285714285714,0.38857142857142857,272,428,300,9,291
Confidence only,0.8,0.8,800,1000,0.545,0.455,364,436,200,1,199
Confidence only,0.9,0.9,900,1000,0.4855555555555556,0.5144444444444445,463,437,100,0,100
Confidence only,1.0,1.0,1000,1000,0.437,0.563,563,437,0,0,0
Question-aware semantic V2,0.1,0.1,100,1000,0.79,0.21,21,79,900,358,542
Question-aware semantic V2,0.2,0.2,200,1000,0.775,0.225,45,155,800,282,518
Question-aware semantic V2,0.3,0.3,300,1000,0.7333333333333333,0.26666666666666666,80,220,700,217,483
Question-aware semantic V2,0.4,0.4,400,1000,0.6775,0.3225,129,271,600,166,434
Question-aware semantic V2,0.5,0.5,500,1000,0.628,0.372,186,314,500,123,377
Question-aware semantic V2,0.6,0.6,600,1000,0.565,0.435,261,339,400,98,302
Question-aware semantic V2,0.7,0.7,700,1000,0.52,0.48,336,364,300,73,227
Question-aware semantic V2,0.8,0.8,800,1000,0.48125,0.51875,415,385,200,52,148
Question-aware semantic V2,0.9,0.9,900,1000,0.4411111111111111,0.5588888888888889,503,397,100,40,60
Question-aware semantic V2,1.0,1.0,1000,1000,0.437,0.563,563,437,0,0,0
Confidence + question-aware semantic V2,0.1,0.1,100,1000,0.88,0.12,12,88,900,349,551
Confidence + question-aware semantic V2,0.2,0.2,200,1000,0.885,0.115,23,177,800,260,540
Confidence + question-aware semantic V2,0.3,0.3,300,1000,0.85,0.15,45,255,700,182,518
Confidence + question-aware semantic V2,0.4,0.4,400,1000,0.7825,0.2175,87,313,600,124,476
Confidence + question-aware semantic V2,0.5,0.5,500,1000,0.672,0.328,164,336,500,101,399
Confidence + question-aware semantic V2,0.6,0.6,600,1000,0.6033333333333334,0.39666666666666667,238,362,400,75,325
Confidence + question-aware semantic V2,0.7,0.7,700,1000,0.5414285714285715,0.4585714285714286,321,379,300,58,242
Confidence + question-aware semantic V2,0.8,0.8,800,1000,0.49125,0.50875,407,393,200,44,156
Confidence + question-aware semantic V2,0.9,0.9,900,1000,0.4411111111111111,0.5588888888888889,503,397,100,40,60
Confidence + question-aware semantic V2,1.0,1.0,1000,1000,0.437,0.563,563,437,0,0,0
Self-verifier only,0.1,0.1,100,1000,0.68,0.32,32,68,900,369,531
Self-verifier only,0.2,0.2,200,1000,0.65,0.35,70,130,800,307,493
Self-verifier only,0.3,0.3,300,1000,0.6,0.4,120,180,700,257,443
Self-verifier only,0.4,0.4,400,1000,0.605,0.395,158,242,600,195,405
Self-verifier only,0.5,0.5,500,1000,0.578,0.422,211,289,500,148,352
Self-verifier only,0.6,0.6,600,1000,0.5583333333333333,0.44166666666666665,265,335,400,102,298
Self-verifier only,0.7,0.7,700,1000,0.5257142857142857,0.4742857142857143,332,368,300,69,231
Self-verifier only,0.8,0.8,800,1000,0.5075,0.4925,394,406,200,31,169
Self-verifier only,0.9,0.9,900,1000,0.4811111111111111,0.5188888888888888,467,433,100,4,96
Self-verifier only,1.0,1.0,1000,1000,0.437,0.563,563,437,0,0,0
Confidence + self-verifier,0.1,0.1,100,1000,0.91,0.09,9,91,900,346,554
Confidence + self-verifier,0.2,0.2,200,1000,0.865,0.135,27,173,800,264,536
Confidence + self-verifier,0.3,0.3,300,1000,0.8266666666666667,0.17333333333333334,52,248,700,189,511
Confidence + self-verifier,0.4,0.4,400,1000,0.8075,0.1925,77,323,600,114,486
Confidence + self-verifier,0.5,0.5,500,1000,0.756,0.244,122,378,500,59,441
Confidence + self-verifier,0.6,0.6,600,1000,0.68,0.32,192,408,400,29,371
Confidence + self-verifier,0.7,0.7,700,1000,0.6114285714285714,0.38857142857142857,272,428,300,9,291
Confidence + self-verifier,0.8,0.8,800,1000,0.54375,0.45625,365,435,200,2,198
Confidence + self-verifier,0.9,0.9,900,1000,0.4855555555555556,0.5144444444444445,463,437,100,0,100
Confidence + self-verifier,1.0,1.0,1000,1000,0.437,0.563,563,437,0,0,0
