answered,coverage,selective_accuracy,selective_risk,minimum_score
170,0.85,0.5294117647058824,0.47058823529411764,0.019098173497299524
171,0.855,0.5263157894736842,0.47368421052631576,0.01853323838138769
172,0.86,0.5232558139534884,0.47674418604651164,0.01816075357518473
173,0.865,0.5202312138728323,0.4797687861271676,0.01774207037239898
174,0.87,0.5172413793103449,0.4827586206896552,0.01755897766707863
175,0.875,0.5142857142857142,0.4857142857142857,0.016961781998880335
176,0.88,0.5113636363636364,0.48863636363636365,0.01677840357324509
177,0.885,0.5084745762711864,0.4915254237288136,0.016585518279058756
178,0.89,0.5056179775280899,0.4943820224719101,0.016543626850860874
179,0.895,0.5027932960893855,0.4972067039106145,0.01622308704043283
180,0.9,0.5,0.5,0.015389534555960097
181,0.905,0.4972375690607735,0.5027624309392266,0.014112559806092053
182,0.91,0.4945054945054945,0.5054945054945055,0.013918731305687035
183,0.915,0.4918032786885246,0.5081967213114754,0.013798576147768336
184,0.92,0.4891304347826087,0.5108695652173914,0.012050518875424068
185,0.925,0.4864864864864865,0.5135135135135135,0.011844928337097065
186,0.93,0.4838709677419355,0.5161290322580645,0.011656176500095254
187,0.935,0.48128342245989303,0.5187165775401069,0.011273649052035893
188,0.94,0.4787234042553192,0.5212765957446809,0.009307033791783945
189,0.945,0.47619047619047616,0.5238095238095238,0.008596723941129036
190,0.95,0.47368421052631576,0.5263157894736842,0.008168833451977421
191,0.955,0.4712041884816754,0.5287958115183246,0.007558836407193144
192,0.96,0.46875,0.53125,0.007498922978622654
193,0.965,0.46632124352331605,0.533678756476684,0.007214457317093792
194,0.97,0.4639175257731959,0.5360824742268041,0.004416693422287024
195,0.975,0.46153846153846156,0.5384615384615384,0.004283676503565977
196,0.98,0.45918367346938777,0.5408163265306123,0.004039646228861562
197,0.985,0.45685279187817257,0.5431472081218274,0.0027526847308476862
198,0.99,0.45454545454545453,0.5454545454545454,0.002718129106385431
199,0.995,0.45226130653266333,0.5477386934673367,0.002390115310388382
200,1.0,0.455,0.545,0.0017942493895674583
