threshold,total,answered,abstained,coverage,selective_accuracy,selective_risk,correct_answered,wrong_answered
0.39,200,135,65,0.675,0.6592592592592592,0.34074074074074073,89,46
0.4,200,134,66,0.67,0.664179104477612,0.3358208955223881,89,45
0.41,200,134,66,0.67,0.664179104477612,0.3358208955223881,89,45
0.42,200,133,67,0.665,0.6616541353383458,0.3383458646616541,88,45
0.43,200,129,71,0.645,0.6666666666666666,0.3333333333333333,86,43
0.44,200,127,73,0.635,0.6771653543307087,0.3228346456692913,86,41
0.45,200,124,76,0.62,0.6854838709677419,0.31451612903225806,85,39
0.46,200,123,77,0.615,0.6910569105691057,0.3089430894308943,85,38
0.47,200,120,80,0.6,0.7,0.3,84,36
0.48,200,117,83,0.585,0.7094017094017094,0.2905982905982906,83,34
0.49,200,114,86,0.57,0.7192982456140351,0.2807017543859649,82,32
0.5,200,113,87,0.565,0.7256637168141593,0.2743362831858407,82,31
0.51,200,111,89,0.555,0.7207207207207207,0.27927927927927926,80,31
0.52,200,111,89,0.555,0.7207207207207207,0.27927927927927926,80,31
0.53,200,107,93,0.535,0.719626168224299,0.2803738317757009,77,30
0.54,200,104,96,0.52,0.7307692307692307,0.2692307692307692,76,28
0.55,200,102,98,0.51,0.7352941176470589,0.2647058823529412,75,27
0.56,200,101,99,0.505,0.7326732673267327,0.26732673267326734,74,27
0.57,200,100,100,0.5,0.74,0.26,74,26
0.58,200,97,103,0.485,0.7628865979381443,0.23711340206185566,74,23
0.59,200,93,107,0.465,0.7634408602150538,0.23655913978494625,71,22
0.6,200,91,109,0.455,0.7802197802197802,0.21978021978021978,71,20
0.61,200,86,114,0.43,0.7906976744186046,0.20930232558139536,68,18
0.62,200,84,116,0.42,0.7976190476190477,0.20238095238095238,67,17
0.63,200,82,118,0.41,0.7926829268292683,0.2073170731707317,65,17
0.64,200,81,119,0.405,0.7901234567901234,0.20987654320987653,64,17
0.65,200,80,120,0.4,0.7875,0.2125,63,17
0.66,200,79,121,0.395,0.7974683544303798,0.20253164556962025,63,16
0.67,200,74,126,0.37,0.8108108108108109,0.1891891891891892,60,14
0.68,200,70,130,0.35,0.8142857142857143,0.18571428571428572,57,13
0.69,200,68,132,0.34,0.8088235294117647,0.19117647058823528,55,13
0.7,200,64,136,0.32,0.8125,0.1875,52,12
0.71,200,59,141,0.295,0.8135593220338984,0.1864406779661017,48,11
0.72,200,56,144,0.28,0.8214285714285714,0.17857142857142858,46,10
0.73,200,53,147,0.265,0.8301886792452831,0.16981132075471697,44,9
0.74,200,52,148,0.26,0.8461538461538461,0.15384615384615385,44,8
0.75,200,51,149,0.255,0.8431372549019608,0.1568627450980392,43,8
0.76,200,50,150,0.25,0.86,0.14,43,7
0.77,200,47,153,0.235,0.8723404255319149,0.1276595744680851,41,6
0.78,200,44,156,0.22,0.8636363636363636,0.13636363636363635,38,6
0.79,200,41,159,0.205,0.8536585365853658,0.14634146341463414,35,6
0.8,200,37,163,0.185,0.8648648648648649,0.13513513513513514,32,5
0.81,200,35,165,0.175,0.8571428571428571,0.14285714285714285,30,5
0.82,200,33,167,0.165,0.8484848484848485,0.15151515151515152,28,5
0.83,200,30,170,0.15,0.8333333333333334,0.16666666666666666,25,5
0.84,200,28,172,0.14,0.8214285714285714,0.17857142857142858,23,5
0.85,200,25,175,0.125,0.8,0.2,20,5
0.86,200,23,177,0.115,0.8260869565217391,0.17391304347826086,19,4
0.87,200,20,180,0.1,0.8,0.2,16,4
0.88,200,18,182,0.09,0.7777777777777778,0.2222222222222222,14,4
0.89,200,15,185,0.075,0.8666666666666667,0.13333333333333333,13,2
0.9,200,12,188,0.06,0.9166666666666666,0.08333333333333333,11,1
0.91,200,7,193,0.035,0.8571428571428571,0.14285714285714285,6,1
0.92,200,3,197,0.015,1.0,0.0,3,0
0.93,200,2,198,0.01,1.0,0.0,2,0
0.94,200,2,198,0.01,1.0,0.0,2,0
0.95,200,1,199,0.005,1.0,0.0,1,0
0.96,200,1,199,0.005,1.0,0.0,1,0
0.97,200,0,200,0.0,1.0,0.0,0,0
0.98,200,0,200,0.0,1.0,0.0,0,0
0.99,200,0,200,0.0,1.0,0.0,0,0
1.0,200,0,200,0.0,1.0,0.0,0,0
