method,answered,coverage,selective_accuracy,risk,wrong_answered
Confidence + question-aware semantic V2,1895,0.6316666666666667,0.5535620052770448,0.44643799472295514,846
Confidence + question-aware semantic V2,1896,0.632,0.5532700421940928,0.4467299578059072,847
Confidence + question-aware semantic V2,1897,0.6323333333333333,0.5529783869267264,0.4470216130732736,848
Confidence + question-aware semantic V2,1898,0.6326666666666667,0.553213909378293,0.44678609062170704,848
Confidence + question-aware semantic V2,1899,0.633,0.5529225908372828,0.4470774091627172,849
Confidence + question-aware semantic V2,1900,0.6333333333333333,0.5526315789473685,0.4473684210526316,850
Confidence + question-aware semantic V2,1901,0.6336666666666667,0.5523408732246187,0.4476591267753814,851
Confidence + question-aware semantic V2,1902,0.634,0.5520504731861199,0.4479495268138801,852
Confidence + question-aware semantic V2,1903,0.6343333333333333,0.5517603783499737,0.4482396216500263,853
Confidence + question-aware semantic V2,1904,0.6346666666666667,0.5514705882352942,0.4485294117647059,854
Confidence + question-aware semantic V2,1905,0.635,0.5511811023622047,0.44881889763779526,855
Confidence + question-aware semantic V2,1906,0.6353333333333333,0.5508919202518363,0.4491080797481637,856
Confidence + question-aware semantic V2,1907,0.6356666666666667,0.5506030414263241,0.44939695857367595,857
Confidence + question-aware semantic V2,1908,0.636,0.550314465408805,0.449685534591195,858
Confidence + question-aware semantic V2,1909,0.6363333333333333,0.5500261917234154,0.4499738082765846,859
Confidence + question-aware semantic V2,1910,0.6366666666666667,0.5497382198952879,0.450261780104712,860
Confidence + question-aware semantic V2,1911,0.637,0.5499738356881214,0.4500261643118786,860
Confidence + question-aware semantic V2,1912,0.6373333333333333,0.5496861924686193,0.4503138075313807,861
Confidence + question-aware semantic V2,1913,0.6376666666666667,0.5499215891270256,0.4500784108729744,861
Confidence + question-aware semantic V2,1914,0.638,0.5496342737722049,0.4503657262277952,862
Confidence + question-aware semantic V2,1915,0.6383333333333333,0.549869451697128,0.4501305483028721,862
Confidence + question-aware semantic V2,1916,0.6386666666666667,0.5495824634655533,0.45041753653444677,863
Confidence + question-aware semantic V2,1917,0.639,0.5492957746478874,0.4507042253521127,864
Confidence + question-aware semantic V2,1918,0.6393333333333333,0.5490093847758082,0.45099061522419187,865
Confidence + question-aware semantic V2,1919,0.6396666666666667,0.5487232933819698,0.4512767066180302,866
Confidence + question-aware semantic V2,1920,0.64,0.5484375,0.4515625,867
Confidence + question-aware semantic V2,1921,0.6403333333333333,0.5481520041644976,0.45184799583550234,868
Confidence + question-aware semantic V2,1922,0.6406666666666667,0.5478668054110302,0.45213319458896983,869
Confidence + question-aware semantic V2,1923,0.641,0.5475819032761311,0.45241809672386896,870
Confidence + question-aware semantic V2,1924,0.6413333333333333,0.5472972972972973,0.4527027027027027,871
Confidence + question-aware semantic V2,1925,0.6416666666666667,0.5470129870129871,0.452987012987013,872
Confidence + question-aware semantic V2,1926,0.642,0.5467289719626168,0.4532710280373832,873
Confidence + question-aware semantic V2,1927,0.6423333333333333,0.5464452516865594,0.45355474831344056,874
Confidence + question-aware semantic V2,1928,0.6426666666666667,0.546161825726141,0.4538381742738589,875
