method,score_field,total_records,full_accuracy,aurc,normalized_aurc
Confidence only,calibrated_confidence,3000,0.42233333333333334,0.2923788370539205,0.21610944694634757
Question-aware semantic V2,qa_entailment_probability; invalid claims=0,3000,0.42233333333333334,0.39464382643483864,0.4971048164040996
Confidence + question-aware semantic V2,sqrt(calibrated_confidence * qa_entailment_probability); invalid claims=0,3000,0.42233333333333334,0.33941730537768533,0.34535790103976155
Self-verifier only,normalized(self_verification_score),3000,0.42233333333333334,0.43389179919397036,0.6049471842827183
Confidence + self-verifier,sqrt(calibrated_confidence * normalized(self_verification_score)),3000,0.42233333333333334,0.30912023975365527,0.26211010333257667
