method,requested_coverage,actual_coverage,answered,total,selective_accuracy,risk,wrong_answered,correct_answered,abstained,correct_abstained,incorrect_abstained
Confidence only,0.1,0.1,300,3000,0.8933333333333333,0.10666666666666667,32,268,2700,1002,1698
Confidence only,0.2,0.2,600,3000,0.8533333333333334,0.14666666666666667,88,512,2400,758,1642
Confidence only,0.3,0.3,900,3000,0.84,0.16,144,756,2100,514,1586
Confidence only,0.4,0.4,1200,3000,0.8025,0.1975,237,963,1800,307,1493
Confidence only,0.5,0.5,1500,3000,0.7446666666666667,0.25533333333333336,383,1117,1500,153,1347
Confidence only,0.6,0.6,1800,3000,0.6722222222222223,0.3277777777777778,590,1210,1200,60,1140
Confidence only,0.7,0.7,2100,3000,0.5933333333333334,0.4066666666666667,854,1246,900,24,876
Confidence only,0.8,0.8,2400,3000,0.52625,0.47375,1137,1263,600,7,593
Confidence only,0.9,0.9,2700,3000,0.4685185185185185,0.5314814814814814,1435,1265,300,5,295
Confidence only,1.0,1.0,3000,3000,0.42333333333333334,0.5766666666666667,1730,1270,0,0,0
Question-aware semantic V2,0.1,0.1,300,3000,0.7833333333333333,0.21666666666666667,65,235,2700,1035,1665
Question-aware semantic V2,0.2,0.2,600,3000,0.7616666666666667,0.23833333333333334,143,457,2400,813,1587
Question-aware semantic V2,0.3,0.3,900,3000,0.7211111111111111,0.2788888888888889,251,649,2100,621,1479
Question-aware semantic V2,0.4,0.4,1200,3000,0.665,0.335,402,798,1800,472,1328
Question-aware semantic V2,0.5,0.5,1500,3000,0.6033333333333334,0.39666666666666667,595,905,1500,365,1135
Question-aware semantic V2,0.6,0.6,1800,3000,0.5466666666666666,0.4533333333333333,816,984,1200,286,914
Question-aware semantic V2,0.7,0.7,2100,3000,0.49857142857142855,0.5014285714285714,1053,1047,900,223,677
Question-aware semantic V2,0.8,0.8,2400,3000,0.45916666666666667,0.5408333333333334,1298,1102,600,168,432
Question-aware semantic V2,0.9,0.9,2700,3000,0.4225925925925926,0.5774074074074074,1559,1141,300,129,171
Question-aware semantic V2,1.0,1.0,3000,3000,0.42333333333333334,0.5766666666666667,1730,1270,0,0,0
Confidence + question-aware semantic V2,0.1,0.1,300,3000,0.8833333333333333,0.11666666666666667,35,265,2700,1005,1695
Confidence + question-aware semantic V2,0.2,0.2,600,3000,0.855,0.145,87,513,2400,757,1643
Confidence + question-aware semantic V2,0.3,0.3,900,3000,0.8088888888888889,0.19111111111111112,172,728,2100,542,1558
Confidence + question-aware semantic V2,0.4,0.4,1200,3000,0.75,0.25,300,900,1800,370,1430
Confidence + question-aware semantic V2,0.5,0.5,1500,3000,0.6506666666666666,0.34933333333333333,524,976,1500,294,1206
Confidence + question-aware semantic V2,0.6,0.6,1800,3000,0.5716666666666667,0.42833333333333334,771,1029,1200,241,959
Confidence + question-aware semantic V2,0.7,0.7,2100,3000,0.5185714285714286,0.48142857142857143,1011,1089,900,181,719
Confidence + question-aware semantic V2,0.8,0.8,2400,3000,0.4675,0.5325,1278,1122,600,148,452
Confidence + question-aware semantic V2,0.9,0.9,2700,3000,0.4225925925925926,0.5774074074074074,1559,1141,300,129,171
Confidence + question-aware semantic V2,1.0,1.0,3000,3000,0.42333333333333334,0.5766666666666667,1730,1270,0,0,0
Self-verifier only,0.1,0.1,300,3000,0.6533333333333333,0.3466666666666667,104,196,2700,1074,1626
Self-verifier only,0.2,0.2,600,3000,0.6366666666666667,0.36333333333333334,218,382,2400,888,1512
Self-verifier only,0.3,0.3,900,3000,0.6144444444444445,0.38555555555555554,347,553,2100,717,1383
Self-verifier only,0.4,0.4,1200,3000,0.5991666666666666,0.4008333333333333,481,719,1800,551,1249
Self-verifier only,0.5,0.5,1500,3000,0.574,0.426,639,861,1500,409,1091
Self-verifier only,0.6,0.6,1800,3000,0.5455555555555556,0.45444444444444443,818,982,1200,288,912
Self-verifier only,0.7,0.7,2100,3000,0.5171428571428571,0.4828571428571429,1014,1086,900,184,716
Self-verifier only,0.8,0.8,2400,3000,0.4945833333333333,0.5054166666666666,1213,1187,600,83,517
Self-verifier only,0.9,0.9,2700,3000,0.4648148148148148,0.5351851851851852,1445,1255,300,15,285
Self-verifier only,1.0,1.0,3000,3000,0.42333333333333334,0.5766666666666667,1730,1270,0,0,0
Confidence + self-verifier,0.1,0.1,300,3000,0.8566666666666667,0.14333333333333334,43,257,2700,1013,1687
Confidence + self-verifier,0.2,0.2,600,3000,0.825,0.175,105,495,2400,775,1625
Confidence + self-verifier,0.3,0.3,900,3000,0.7944444444444444,0.20555555555555555,185,715,2100,555,1545
Confidence + self-verifier,0.4,0.4,1200,3000,0.7708333333333334,0.22916666666666666,275,925,1800,345,1455
Confidence + self-verifier,0.5,0.5,1500,3000,0.734,0.266,399,1101,1500,169,1331
Confidence + self-verifier,0.6,0.6,1800,3000,0.6594444444444445,0.34055555555555556,613,1187,1200,83,1117
Confidence + self-verifier,0.7,0.7,2100,3000,0.5923809523809523,0.4076190476190476,856,1244,900,26,874
Confidence + self-verifier,0.8,0.8,2400,3000,0.5241666666666667,0.47583333333333333,1142,1258,600,12,588
Confidence + self-verifier,0.9,0.9,2700,3000,0.4685185185185185,0.5314814814814814,1435,1265,300,5,295
Confidence + self-verifier,1.0,1.0,3000,3000,0.42333333333333334,0.5766666666666667,1730,1270,0,0,0
