method,requested_coverage,actual_coverage,answered,total,selective_accuracy,risk,wrong_answered,correct_answered,abstained,correct_abstained,incorrect_abstained
Confidence only,0.1,0.1,100,1000,0.91,0.09,9,91,900,322,578
Confidence only,0.2,0.2,200,1000,0.89,0.11,22,178,800,235,565
Confidence only,0.3,0.3,300,1000,0.8433333333333334,0.15666666666666668,47,253,700,160,540
Confidence only,0.4,0.4,400,1000,0.7975,0.2025,81,319,600,94,506
Confidence only,0.5,0.5,500,1000,0.73,0.27,135,365,500,48,452
Confidence only,0.6,0.6,600,1000,0.6516666666666666,0.34833333333333333,209,391,400,22,378
Confidence only,0.7,0.7,700,1000,0.5785714285714286,0.42142857142857143,295,405,300,8,292
Confidence only,0.8,0.8,800,1000,0.51125,0.48875,391,409,200,4,196
Confidence only,0.9,0.9,900,1000,0.45444444444444443,0.5455555555555556,491,409,100,4,96
Confidence only,1.0,1.0,1000,1000,0.413,0.587,587,413,0,0,0
Old semantic verifier only,0.1,0.1,100,1000,0.67,0.33,33,67,900,346,554
Old semantic verifier only,0.2,0.2,200,1000,0.655,0.345,69,131,800,282,518
Old semantic verifier only,0.3,0.3,300,1000,0.65,0.35,105,195,700,218,482
Old semantic verifier only,0.4,0.4,400,1000,0.6225,0.3775,151,249,600,164,436
Old semantic verifier only,0.5,0.5,500,1000,0.592,0.408,204,296,500,117,383
Old semantic verifier only,0.6,0.6,600,1000,0.555,0.445,267,333,400,80,320
Old semantic verifier only,0.7,0.7,700,1000,0.5128571428571429,0.48714285714285716,341,359,300,54,246
Old semantic verifier only,0.8,0.8,800,1000,0.48,0.52,416,384,200,29,171
Old semantic verifier only,0.9,0.9,900,1000,0.45,0.55,495,405,100,8,92
Old semantic verifier only,1.0,1.0,1000,1000,0.413,0.587,587,413,0,0,0
Question-aware semantic V2,0.1,0.1,100,1000,0.76,0.24,24,76,900,337,563
Question-aware semantic V2,0.2,0.2,200,1000,0.75,0.25,50,150,800,263,537
Question-aware semantic V2,0.3,0.3,300,1000,0.7133333333333334,0.2866666666666667,86,214,700,199,501
Question-aware semantic V2,0.4,0.4,400,1000,0.68,0.32,128,272,600,141,459
Question-aware semantic V2,0.5,0.5,500,1000,0.606,0.394,197,303,500,110,390
Question-aware semantic V2,0.6,0.6,600,1000,0.545,0.455,273,327,400,86,314
Question-aware semantic V2,0.7,0.7,700,1000,0.4928571428571429,0.5071428571428571,355,345,300,68,232
Question-aware semantic V2,0.8,0.8,800,1000,0.45375,0.54625,437,363,200,50,150
Question-aware semantic V2,0.9,0.9,900,1000,0.4166666666666667,0.5833333333333334,525,375,100,38,62
Question-aware semantic V2,1.0,1.0,1000,1000,0.413,0.587,587,413,0,0,0
Confidence + question-aware semantic V2,0.1,0.1,100,1000,0.93,0.07,7,93,900,320,580
Confidence + question-aware semantic V2,0.2,0.2,200,1000,0.875,0.125,25,175,800,238,562
Confidence + question-aware semantic V2,0.3,0.3,300,1000,0.81,0.19,57,243,700,170,530
Confidence + question-aware semantic V2,0.4,0.4,400,1000,0.745,0.255,102,298,600,115,485
Confidence + question-aware semantic V2,0.5,0.5,500,1000,0.648,0.352,176,324,500,89,411
Confidence + question-aware semantic V2,0.6,0.6,600,1000,0.5666666666666667,0.43333333333333335,260,340,400,73,327
Confidence + question-aware semantic V2,0.7,0.7,700,1000,0.5085714285714286,0.49142857142857144,344,356,300,57,243
Confidence + question-aware semantic V2,0.8,0.8,800,1000,0.4575,0.5425,434,366,200,47,153
Confidence + question-aware semantic V2,0.9,0.9,900,1000,0.4166666666666667,0.5833333333333334,525,375,100,38,62
Confidence + question-aware semantic V2,1.0,1.0,1000,1000,0.413,0.587,587,413,0,0,0
