method,score_field,total_records,full_accuracy,aurc,normalized_aurc
Confidence only,calibrated_confidence,200,0.445,0.23038801749279203,0.09559763929663022
Old semantic verifier only,entailment_probability,200,0.445,0.3832194703953599,0.521401781605946
Question-aware semantic V2,qa_entailment_probability; invalid claims=0,200,0.445,0.3576525688698976,0.4501697651014866
Confidence + question-aware semantic V2,sqrt(calibrated_confidence * qa_entailment_probability); invalid claims=0,200,0.445,0.2933736975729591,0.27108222034947366
