method,n,aurc,aurc_ci95_low,aurc_ci95_high,delta_aurc_vs_confidence,delta_ci95_low,delta_ci95_high,bootstrap_fraction_better_than_confidence,bootstrap_samples,bootstrap_seed,order_seed
Confidence only,3000,0.2923788370539205,0.2731144500619469,0.31251990499770277,0.0,0.0,0.0,,5000,17,17
Question-aware semantic V2,3000,0.39464382643483864,0.37196958932776164,0.4179711693634449,0.10226498938091816,0.08635739800083445,0.1182858770364294,0.0,5000,17,17
Confidence + question-aware semantic V2,3000,0.33941730537768533,0.31898929431435963,0.36038587185936605,0.04703846832376485,0.03631205686714714,0.057263076642950404,0.0,5000,17,17
Self-verifier only,3000,0.43389179919397036,0.41027798135310356,0.4587896370759446,0.14151296214004988,0.12427956743478576,0.15908665722049037,0.0,5000,17,17
Confidence + self-verifier,3000,0.30912023975365527,0.2893475562982741,0.32986604719328166,0.016741402699734786,0.008560591302793238,0.024773192356262293,0.0004,5000,17,17
