sample_size,seed,method,requested_coverage,answered,total,actual_coverage,selective_accuracy,risk,wrong_answered,correct_answered,abstained,correct_abstained,incorrect_abstained
500,17,Old semantic verifier only,0.9,450,500,0.9,0.4488888888888889,0.5511111111111111,248,202,50,3,47
500,17,Old semantic verifier only,1.0,500,500,1.0,0.41,0.59,295,205,0,0,0
500,17,Question-aware semantic V2,0.1,50,500,0.1,0.68,0.32,16,34,450,171,279
500,17,Question-aware semantic V2,0.2,100,500,0.2,0.75,0.25,25,75,400,130,270
500,17,Question-aware semantic V2,0.3,150,500,0.3,0.7133333333333334,0.2866666666666667,43,107,350,98,252
500,17,Question-aware semantic V2,0.4,200,500,0.4,0.68,0.32,64,136,300,69,231
500,17,Question-aware semantic V2,0.5,250,500,0.5,0.616,0.384,96,154,250,51,199
500,17,Question-aware semantic V2,0.6,300,500,0.6,0.5533333333333333,0.44666666666666666,134,166,200,39,161
500,17,Question-aware semantic V2,0.7,350,500,0.7,0.4942857142857143,0.5057142857142857,177,173,150,32,118
500,17,Question-aware semantic V2,0.8,400,500,0.8,0.445,0.555,222,178,100,27,73
500,17,Question-aware semantic V2,0.9,450,500,0.9,0.4177777777777778,0.5822222222222222,262,188,50,17,33
500,17,Question-aware semantic V2,1.0,500,500,1.0,0.41,0.59,295,205,0,0,0
500,17,Confidence + question-aware semantic V2,0.1,50,500,0.1,0.94,0.06,3,47,450,158,292
500,17,Confidence + question-aware semantic V2,0.2,100,500,0.2,0.89,0.11,11,89,400,116,284
500,17,Confidence + question-aware semantic V2,0.3,150,500,0.3,0.8066666666666666,0.19333333333333333,29,121,350,84,266
500,17,Confidence + question-aware semantic V2,0.4,200,500,0.4,0.75,0.25,50,150,300,55,245
500,17,Confidence + question-aware semantic V2,0.5,250,500,0.5,0.652,0.348,87,163,250,42,208
500,17,Confidence + question-aware semantic V2,0.6,300,500,0.6,0.5733333333333334,0.4266666666666667,128,172,200,33,167
500,17,Confidence + question-aware semantic V2,0.7,350,500,0.7,0.5057142857142857,0.4942857142857143,173,177,150,28,122
500,17,Confidence + question-aware semantic V2,0.8,400,500,0.8,0.4525,0.5475,219,181,100,24,76
500,17,Confidence + question-aware semantic V2,0.9,450,500,0.9,0.4177777777777778,0.5822222222222222,262,188,50,17,33
500,17,Confidence + question-aware semantic V2,1.0,500,500,1.0,0.41,0.59,295,205,0,0,0
1000,17,Confidence only,0.1,100,1000,0.1,0.91,0.09,9,91,900,322,578
1000,17,Confidence only,0.2,200,1000,0.2,0.89,0.11,22,178,800,235,565
