method,requested_coverage,actual_coverage,answered,total,selective_accuracy,risk,wrong_answered,correct_answered,abstained,correct_abstained,incorrect_abstained
Confidence only,0.1,0.1,50,500,0.96,0.04,2,48,450,157,293
Confidence only,0.2,0.2,100,500,0.89,0.11,11,89,400,116,284
Confidence only,0.3,0.3,150,500,0.84,0.16,24,126,350,79,271
Confidence only,0.4,0.4,200,500,0.785,0.215,43,157,300,48,252
Confidence only,0.5,0.5,250,500,0.724,0.276,69,181,250,24,226
Confidence only,0.6,0.6,300,500,0.65,0.35,105,195,200,10,190
Confidence only,0.7,0.7,350,500,0.5771428571428572,0.4228571428571429,148,202,150,3,147
Confidence only,0.8,0.8,400,500,0.51,0.49,196,204,100,1,99
Confidence only,0.9,0.9,450,500,0.4533333333333333,0.5466666666666666,246,204,50,1,49
Confidence only,1.0,1.0,500,500,0.41,0.59,295,205,0,0,0
Old semantic verifier only,0.1,0.1,50,500,0.62,0.38,19,31,450,174,276
Old semantic verifier only,0.2,0.2,100,500,0.65,0.35,35,65,400,140,260
Old semantic verifier only,0.3,0.3,150,500,0.6533333333333333,0.3466666666666667,52,98,350,107,243
Old semantic verifier only,0.4,0.4,200,500,0.64,0.36,72,128,300,77,223
Old semantic verifier only,0.5,0.5,250,500,0.608,0.392,98,152,250,53,197
Old semantic verifier only,0.6,0.6,300,500,0.5633333333333334,0.43666666666666665,131,169,200,36,164
Old semantic verifier only,0.7,0.7,350,500,0.5171428571428571,0.4828571428571429,169,181,150,24,126
Old semantic verifier only,0.8,0.8,400,500,0.48,0.52,208,192,100,13,87
Old semantic verifier only,0.9,0.9,450,500,0.4488888888888889,0.5511111111111111,248,202,50,3,47
Old semantic verifier only,1.0,1.0,500,500,0.41,0.59,295,205,0,0,0
Question-aware semantic V2,0.1,0.1,50,500,0.68,0.32,16,34,450,171,279
Question-aware semantic V2,0.2,0.2,100,500,0.75,0.25,25,75,400,130,270
Question-aware semantic V2,0.3,0.3,150,500,0.7133333333333334,0.2866666666666667,43,107,350,98,252
Question-aware semantic V2,0.4,0.4,200,500,0.68,0.32,64,136,300,69,231
Question-aware semantic V2,0.5,0.5,250,500,0.616,0.384,96,154,250,51,199
Question-aware semantic V2,0.6,0.6,300,500,0.5533333333333333,0.44666666666666666,134,166,200,39,161
Question-aware semantic V2,0.7,0.7,350,500,0.4942857142857143,0.5057142857142857,177,173,150,32,118
Question-aware semantic V2,0.8,0.8,400,500,0.445,0.555,222,178,100,27,73
Question-aware semantic V2,0.9,0.9,450,500,0.4177777777777778,0.5822222222222222,262,188,50,17,33
Question-aware semantic V2,1.0,1.0,500,500,0.41,0.59,295,205,0,0,0
Confidence + question-aware semantic V2,0.1,0.1,50,500,0.94,0.06,3,47,450,158,292
Confidence + question-aware semantic V2,0.2,0.2,100,500,0.89,0.11,11,89,400,116,284
Confidence + question-aware semantic V2,0.3,0.3,150,500,0.8066666666666666,0.19333333333333333,29,121,350,84,266
Confidence + question-aware semantic V2,0.4,0.4,200,500,0.75,0.25,50,150,300,55,245
Confidence + question-aware semantic V2,0.5,0.5,250,500,0.652,0.348,87,163,250,42,208
Confidence + question-aware semantic V2,0.6,0.6,300,500,0.5733333333333334,0.4266666666666667,128,172,200,33,167
Confidence + question-aware semantic V2,0.7,0.7,350,500,0.5057142857142857,0.4942857142857143,173,177,150,28,122
Confidence + question-aware semantic V2,0.8,0.8,400,500,0.4525,0.5475,219,181,100,24,76
Confidence + question-aware semantic V2,0.9,0.9,450,500,0.4177777777777778,0.5822222222222222,262,188,50,17,33
Confidence + question-aware semantic V2,1.0,1.0,500,500,0.41,0.59,295,205,0,0,0
